x,constrel,Rq_Gphi
-2,-8500,6000
-1.99198396793587,-8451.90380761523,6000
-1.98396793587174,-8403.80761523046,6000
-1.97595190380762,-8355.71142284569,6000
-1.96793587174349,-8307.61523046092,6000
-1.95991983967936,-8259.51903807615,6000
-1.95190380761523,-8211.42284569138,6000
-1.9438877755511,-8163.32665330661,6000
-1.93587174348697,-8115.23046092184,6000
-1.92785571142285,-8067.13426853707,6000
-1.91983967935872,-8019.0380761523,6000
-1.91182364729459,-7970.94188376753,6000
-1.90380761523046,-7922.84569138276,6000
-1.89579158316633,-7874.749498998,6000
-1.8877755511022,-7826.65330661323,6000
-1.87975951903808,-7778.55711422846,6000
-1.87174348697395,-7730.46092184369,6000
-1.86372745490982,-7682.36472945892,6000
-1.85571142284569,-7634.26853707415,6000
-1.84769539078156,-7586.17234468938,6000
-1.83967935871743,-7538.07615230461,6000
-1.83166332665331,-7489.97995991984,6000
-1.82364729458918,-7441.88376753507,6000
-1.81563126252505,-7393.7875751503,6000
-1.80761523046092,-7345.69138276553,6000
-1.79959919839679,-7297.59519038076,6000
-1.79158316633267,-7249.49899799599,6000
-1.78356713426854,-7201.40280561122,6000
-1.77555110220441,-7153.30661322645,6000
-1.76753507014028,-7105.21042084168,6000
-1.75951903807615,-7057.11422845691,6000
-1.75150300601202,-7009.01803607214,6000
-1.7434869739479,-6960.92184368737,6000
-1.73547094188377,-6912.8256513026,6000
-1.72745490981964,-6864.72945891783,6000
-1.71943887775551,-6816.63326653307,6000
-1.71142284569138,-6768.5370741483,6000
-1.70340681362725,-6720.44088176353,6000
-1.69539078156313,-6672.34468937876,6000
-1.687374749499,-6624.24849699399,6000
-1.67935871743487,-6576.15230460922,6000
-1.67134268537074,-6528.05611222445,6000
-1.66332665330661,-6479.95991983968,6000
-1.65531062124249,-6431.86372745491,6000
-1.64729458917836,-6383.76753507014,6000
-1.63927855711423,-6335.67134268537,6000
-1.6312625250501,-6287.5751503006,6000
-1.62324649298597,-6239.47895791583,6000
-1.61523046092184,-6191.38276553106,6000
-1.60721442885772,-6143.28657314629,6000
-1.59919839679359,-6095.19038076152,6000
-1.59118236472946,-6047.09418837675,6000
-1.58316633266533,-5998.99799599198,6000
-1.5751503006012,-5950.90180360721,6000
-1.56713426853707,-5902.80561122245,6000
-1.55911823647295,-5854.70941883768,6000
-1.55110220440882,-5806.61322645291,6000
-1.54308617234469,-5758.51703406814,6000
-1.53507014028056,-5710.42084168337,6000
-1.52705410821643,-5662.3246492986,6000
-1.5190380761523,-5614.22845691383,6000
-1.51102204408818,-5566.13226452906,6000
-1.50300601202405,-5518.03607214429,6000
-1.49498997995992,-5469.93987975952,6000
-1.48697394789579,-5421.84368737475,6000
-1.47895791583166,-5373.74749498998,6000
-1.47094188376753,-5325.65130260521,6000
-1.46292585170341,-5277.55511022044,6000
-1.45490981963928,-5229.45891783567,6000
-1.44689378757515,-5181.3627254509,6000
-1.43887775551102,-5133.26653306613,6000
-1.43086172344689,-5085.17034068136,6000
-1.42284569138277,-5037.07414829659,6000
-1.41482965931864,-4988.97795591182,6000
-1.40681362725451,-4940.88176352706,6000
-1.39879759519038,-4892.78557114229,6000
-1.39078156312625,-4844.68937875752,6000
-1.38276553106212,-4796.59318637275,6000
-1.374749498998,-4748.49699398798,6000
-1.36673346693387,-4700.40080160321,6000
-1.35871743486974,-4652.30460921844,6000
-1.35070140280561,-4604.20841683367,6000
-1.34268537074148,-4556.1122244489,6000
-1.33466933867735,-4508.01603206413,6000
-1.32665330661323,-4459.91983967936,6000
-1.3186372745491,-4411.82364729459,6000
-1.31062124248497,-4363.72745490982,6000
-1.30260521042084,-4315.63126252505,6000
-1.29458917835671,-4267.53507014028,6000
-1.28657314629259,-4219.43887775551,6000
-1.27855711422846,-4171.34268537074,6000
-1.27054108216433,-4123.24649298597,6000
-1.2625250501002,-4075.1503006012,6000
-1.25450901803607,-4027.05410821643,6000
-1.24649298597194,-3978.95791583166,6000
-1.23847695390782,-3930.86172344689,6000
-1.23046092184369,-3882.76553106212,6000
-1.22244488977956,-3834.66933867735,6000
-1.21442885771543,-3786.57314629259,6000
-1.2064128256513,-3738.47695390782,6000
-1.19839679358717,-3690.38076152305,6000
-1.19038076152305,-3642.28456913828,6000
-1.18236472945892,-3594.18837675351,6000
-1.17434869739479,-3546.09218436874,6000
-1.16633266533066,-3497.99599198397,6000
-1.15831663326653,-3449.8997995992,6000
-1.1503006012024,-3401.80360721443,6000
-1.14228456913828,-3353.70741482966,6000
-1.13426853707415,-3305.61122244489,6000
-1.12625250501002,-3257.51503006012,6000
-1.11823647294589,-3209.41883767535,6000
-1.11022044088176,-3161.32264529058,6000
-1.10220440881764,-3113.22645290581,6000
-1.09418837675351,-3065.13026052104,6000
-1.08617234468938,-3017.03406813627,6000
-1.07815631262525,-2968.9378757515,6000
-1.07014028056112,-2920.84168336673,6000
-1.06212424849699,-2872.74549098196,6000
-1.05410821643287,-2824.64929859719,6000
-1.04609218436874,-2776.55310621242,6000
-1.03807615230461,-2728.45691382765,6000
-1.03006012024048,-2680.36072144289,6000
-1.02204408817635,-2632.26452905812,6000
-1.01402805611222,-2584.16833667335,6000
-1.0060120240481,-2536.07214428858,6000
-0.997995991983968,-2494.98997995992,2500
-0.98997995991984,-2474.9498997996,2500
-0.981963927855711,-2454.90981963928,2500
-0.973947895791583,-2434.86973947896,2500
-0.965931863727455,-2414.82965931864,2500
-0.957915831663327,-2394.78957915832,2500
-0.949899799599198,-2374.749498998,2500
-0.94188376753507,-2354.70941883768,2500
-0.933867735470942,-2334.66933867735,2500
-0.925851703406814,-2314.62925851703,2500
-0.917835671342685,-2294.58917835671,2500
-0.909819639278557,-2274.54909819639,2500
-0.901803607214429,-2254.50901803607,2500
-0.893787575150301,-2234.46893787575,2500
-0.885771543086172,-2214.42885771543,2500
-0.877755511022044,-2194.38877755511,2500
-0.869739478957916,-2174.34869739479,2500
-0.861723446893788,-2154.30861723447,2500
-0.853707414829659,-2134.26853707415,2500
-0.845691382765531,-2114.22845691383,2500
-0.837675350701403,-2094.18837675351,2500
-0.829659318637275,-2074.14829659319,2500
-0.821643286573146,-2054.10821643286,2500
-0.813627254509018,-2034.06813627254,2500
-0.80561122244489,-2014.02805611222,2500
-0.797595190380762,-1993.9879759519,2500
-0.789579158316633,-1973.94789579158,2500
-0.781563126252505,-1953.90781563126,2500
-0.773547094188377,-1933.86773547094,2500
-0.765531062124248,-1913.82765531062,2500
-0.75751503006012,-1893.7875751503,2500
-0.749498997995992,-1873.74749498998,2500
-0.741482965931864,-1853.70741482966,2500
-0.733466933867735,-1833.66733466934,2500
-0.725450901803607,-1813.62725450902,2500
-0.717434869739479,-1793.5871743487,2500
-0.709418837675351,-1773.54709418838,2500
-0.701402805611222,-1753.50701402806,2500
-0.693386773547094,-1733.46693386774,2500
-0.685370741482966,-1713.42685370741,2500
-0.677354709418838,-1693.38677354709,2500
-0.669338677354709,-1673.34669338677,2500
-0.661322645290581,-1653.30661322645,2500
-0.653306613226453,-1633.26653306613,2500
-0.645290581162325,-1613.22645290581,2500
-0.637274549098196,-1593.18637274549,2500
-0.629258517034068,-1573.14629258517,2500
-0.62124248496994,-1553.10621242485,2500
-0.613226452905812,-1533.06613226453,2500
-0.605210420841683,-1513.02605210421,2500
-0.597194388777555,-1492.98597194389,2500
-0.589178356713427,-1472.94589178357,2500
-0.581162324649299,-1452.90581162325,2500
-0.57314629258517,-1432.86573146293,2500
-0.565130260521042,-1412.82565130261,2500
-0.557114228456914,-1392.78557114228,2500
-0.549098196392786,-1372.74549098196,2500
-0.541082164328657,-1352.70541082164,2500
-0.533066132264529,-1332.66533066132,2500
-0.525050100200401,-1312.625250501,2500
-0.517034068136273,-1292.58517034068,2500
-0.509018036072144,-1272.54509018036,2500
-0.501002004008016,-1252.50501002004,2500
-0.492985971943888,-1232.46492985972,2500
-0.48496993987976,-1212.4248496994,2500
-0.476953907815631,-1192.38476953908,2500
-0.468937875751503,-1172.34468937876,2500
-0.460921843687375,-1152.30460921844,2500
-0.452905811623247,-1132.26452905812,2500
-0.444889779559118,-1112.2244488978,2500
-0.43687374749499,-1092.18436873748,2500
-0.428857715430862,-1072.14428857715,2500
-0.420841683366733,-1052.10420841683,2500
-0.412825651302605,-1032.06412825651,2500
-0.404809619238477,-1012.02404809619,2500
-0.396793587174349,-991.983967935872,2500
-0.38877755511022,-971.943887775551,2500
-0.380761523046092,-951.903807615231,2500
-0.372745490981964,-931.86372745491,2500
-0.364729458917836,-911.823647294589,2500
-0.356713426853707,-891.783567134268,2500
-0.348697394789579,-871.743486973947,2500
-0.340681362725451,-851.703406813627,2500
-0.332665330661323,-831.663326653306,2500
-0.324649298597194,-811.623246492986,2500
-0.316633266533066,-791.583166332665,2500
-0.308617234468938,-771.543086172344,2500
-0.30060120240481,-751.503006012024,2500
-0.292585170340681,-731.462925851703,2500
-0.284569138276553,-711.422845691383,2500
-0.276553106212425,-691.382765531062,2500
-0.268537074148297,-671.342685370741,2500
-0.260521042084168,-651.302605210421,2500
-0.25250501002004,-631.2625250501,2500
-0.244488977955912,-611.222444889779,2500
-0.236472945891784,-591.182364729459,2500
-0.228456913827655,-571.142284569138,2500
-0.220440881763527,-551.102204408818,2500
-0.212424849699399,-531.062124248497,2500
-0.204408817635271,-511.022044088177,2500
-0.196392785571142,-490.981963927856,2500
-0.188376753507014,-470.941883767535,2500
-0.180360721442886,-450.901803607215,2500
-0.172344689378758,-430.861723446894,2500
-0.164328657314629,-410.821643286573,2500
-0.156312625250501,-390.781563126253,2500
-0.148296593186373,-370.741482965932,2500
-0.140280561122244,-350.701402805611,2500
-0.132264529058116,-330.661322645291,2500
-0.124248496993988,-310.62124248497,2500
-0.11623246492986,-290.581162324649,2500
-0.108216432865731,-270.541082164329,2500
-0.100200400801603,-250.501002004008,2500
-0.0921843687374749,-230.460921843687,2500
-0.0841683366733467,-210.420841683367,2500
-0.0761523046092184,-190.380761523046,2500
-0.0681362725450902,-170.340681362725,2500
-0.0601202404809619,-150.300601202405,2500
-0.0521042084168337,-130.260521042084,2500
-0.0440881763527054,-110.220440881763,2500
-0.0360721442885772,-90.1803607214428,2500
-0.0280561122244489,-70.1402805611222,2500
-0.0200400801603206,-50.1002004008015,2500
-0.0120240480961924,-30.0601202404809,2500
-0.00400801603206413,-10.0200400801603,2500
0.00400801603206413,10.0200400801603,2500
