t,it,qt,phit,vt,Rt_Gt
0,0,0,0,0,2500
0.0125851703406814,0.0251696762462114,0.000158384421991009,0.000317260874937752,0.025187719266439,2500
0.0251703406813627,0.0503353660077989,0.000633512602339126,0.00126884282918915,0.0503595323855289,2500
0.0377555110220441,0.0754930834315356,0.001425309288142,0.00285414780295264,0.0754998467457925,2500
0.0503406813627255,0.100638843926889,0.00253364907113918,0.00507219216878396,0.100593694105269,2500
0.0629258517034068,0.125768664797116,0.00395835640757469,0.0079216263209713,0.125627036038665,2500
0.0755110220440882,0.150878565870066,0.00569920564600079,0.0114007618635493,0.150587061349559,2500
0.0880961923847695,0.175964570128569,0.00775592106301692,0.0155076061617331,0.175462472852653,2500
0.100681362725451,0.201022704340341,0.0101281769069406,0.0202399039570396,0.200243761001825,2500
0.113266533066132,0.22604899968728,0.0128155974494013,0.0255951856838472,0.224923461927357,2500
0.125851703406814,0.251039492394061,0.0158177570448494,0.0315708220650387,0.249496397549727,2500
0.138436873747495,0.275990224355943,0.019134180197973,0.0381640845070898,0.273959895557019,2500
0.151022044088176,0.300897243765664,0.0227643416390078,0.0453722107608875,0.298313987167703,2500
0.163607214428858,0.325756605739353,0.0267076664069321,0.053192475264054,0.322561580749386,2500
0.176192384769539,0.350564372941333,0.030963529940532,0.061622263533966,0.346708609526246,2500
0.18877755511022,0.375316616207733,0.0355312581773215,0.0706591499383136,0.370764151782226,2500
0.201362725450902,0.400009415168812,0.0404101276603044,0.0803009781322285,0.39474052215267,2500
0.213947895791583,0.424638858869878,0.0455993656525571,0.090545943418008,0.418653332792726,2500
0.226533066132265,0.449201046390727,0.0510981502596197,0.101392676255495,0.442521523415381,2500
0.239118236472946,0.473692087463486,0.056905610559671,0.112840326128464,0.466367359404165,2500
0.251703406813627,0.498108103088771,0.0630208267414678,0.124888644955077,0.490216397424016,2500
0.264288577154309,0.522445226150058,0.0694428302500298,0.137538069218751,0.514097418177296,2500
0.27687374749499,0.54669960202618,0.0761706039400436,0.150789799989754,0.538042326179004,2500
0.289458917835671,0.570867389201831,0.0832030822369614,0.16464588000754,0.562086016654523,2500
0.302044088176353,0.594944759876011,0.0905391513057736,0.17910926699935,0.586266209893315,2500
0.314629258517034,0.618927900568281,0.0981776492274207,0.194183902421886,0.610623253621418,2500
0.327214428857715,0.642813012722766,0.106117366182825,0.209874774829929,0.635199894183021,2500
0.339799599198397,0.666596313309782,0.114357044644505,0.226187977098479,0.660041017545283,2500
0.352384769539078,0.690274035425013,0.12289537957575,0.243130756753356,0.685193361359665,2500
0.36496993987976,0.713842428886128,0.131731018637318,0.260711558698919,0.710705199525832,2500
0.377555110220441,0.737297760826751,0.140862562401623,0.278940059670621,0.736626000909454,2500
0.390140280561122,0.76063631628769,0.150288564574384,0.297827193784191,0.763006064061599,2500
0.402725450901804,0.783854398805329,0.160007532223695,0.317385168602151,0.789896129973674,2500
0.415310621242485,0.806948330997087,0.170017926016483,0.337627471191854,0.817346975076772,2500
0.427895791583166,0.829914455143864,0.180318160462313,0.358568863706909,0.845408986856828,2500
0.440480961923848,0.852749133769361,0.190906604164505,0.380225368085558,0.874131724605938,2500
0.453066132264529,0.875448750216203,0.201781580078525,0.402614239524714,0.903563467964721,2500
0.46565130260521,0.898009709218759,0.212941365777597,0.425753928456852,0.933750756029759,2500
0.478236472945892,0.920428437472578,0.224384193725515,0.449664030828096,0.964737919903049,2500
0.490821643286573,0.942701384200343,0.236108251556588,0.474365226549479,0.996566611646502,2500
0.503406813627255,0.964825021714262,0.248111682362693,0.499879206068857,1.02927533267298,2500
0.515991983967936,0.986795845974794,0.26039258498738,0.526228585088033,1.06289896465591,2500
0.528577154308617,1.00861037714564,0.272949014326985,0.553436807527699,1.09746830607142,2500
0.541162324649299,1.03026516014488,0.285778981638705,0.581528036921461,1.13300961750041,2500
0.55374749498998,1.05175676519224,0.298880454855583,0.610527036498967,1.16954417881203,2500
0.566332665330661,1.07308178835227,0.312251358908356,0.640459038296512,1.20708786132551,2500
0.578917835671343,1.0942368520735,0.325889576054115,0.671349601710994,1.24565071800344,2500
0.591503006012024,1.1152186057234,0.33979294621172,0.703224461989257,1.28523659466706,2500
0.604088176352705,1.13602372611903,0.353959267303924,0.736109369219219,1.32584276514285,2500
0.616673346693387,1.15664891805343,0.368386295606151,0.77002991846121,1.36745959315006,2500
0.629258517034068,1.17709091481751,0.38307174610186,0.805011371727355,1.41007022362202,2500
0.64184368737475,1.1973464787174,0.398013292844464,0.841078472582932,1.45365030601878,2500
0.654428857715431,1.21741240158735,0.413208569325719,0.878255254206244,1.49816775203843,2500
0.667014028056112,1.23728550529774,0.428655168850541,0.916564841802105,1.54358252996696,2500
0.679599198396794,1.25696264225853,0.444350644918193,0.956029250318186,1.58984649772516,2500
0.692184368737475,1.27644069591777,0.46029251160977,0.996669178462929,1.63690327647547,2500
0.704769539078156,1.29571658125518,0.476478243981932,1.038503800068,1.68468816644279,2500
0.717354709418838,1.31478724527081,0.492905278466811,1.08155055387723,1.73312810638353,2500
0.729939879759519,1.33364966746855,0.509571013278046,1.12582493287721,1.78214167790582,2500
0.7425250501002,1.35230086033457,0.526472808822862,1.17134027431195,1.8316391556041,2500
0.755110220440882,1.37073786981047,0.543607988120141,1.21810755154531,1.88152260372298,2500
0.767695390781563,1.38895777576115,0.560973837224413,1.26613516894955,1.93168601981053,2500
0.780280561122245,1.40695769243736,0.578567605655707,1.31542876100676,1.98201552556172,2500
0.792865731462926,1.42473476893268,0.596386506835178,1.36599099681175,2.03238960478855,2500
